appid,title,total_reviews,review_percent
259550,Hero of the Kingdom,4829,93.81
259530,Savant - Ascent,2795,92.09
259680,Tales of Maj'Eyal,7213,94.72
259810,Home Sheep Home: Farmageddon Party Edition,1348,95.99
260190,Marc Eckō's Getting Up: Contents Under Pressure,2354,89.34
260230,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™,27050,95.56
260410,Get Off My Lawn!,1730,73.76
260730,Desperados: Wanted Dead or Alive,2359,88.09
260750,Neighbours from Hell Compilation,3062,97.75
261110,Killer is Dead - Nightmare Edition,8619,74.54
261030,The Walking Dead: Season Two,33369,96.56
261180,Lethal League,6066,94.21
261470,Distant Worlds: Universe,1842,75.14
261530,Lifeless Planet Premier Edition,3582,76.69
261510,Tesla Effect: A Tex Murphy Adventure,1309,87.01
261550,Mount & Blade II: Bannerlord,285504,87.73
261570,Ori and the Blind Forest,59224,94.02
261640,Borderlands: The Pre-Sequel,42845,78.76
261700,Eryi's Action,1395,88.03
262000,Gabriel Knight: Sins of the Fathers 20th Anniversary Edition,1153,90.81
262060,Darkest Dungeon®,157855,91.7
262120,Toy Soldiers: Complete,1164,78.52
262260,Jets'n'Guns Gold,1517,86.88
262280,Dungeons 2,5244,81.98
262410,World of Guns: Gun Disassembly,19621,84.1
262690,Little Racers STREET,1114,82.5
262830,Crimsonland,3080,92.5
262940,Broken Sword 5 - the Serpent's Curse,2778,88.91
262960,Castle In The Darkness,1264,76.5
263060,Blockstorm,6334,79.87
263100,9.03m,1131,83.82
263300,BlazBlue: Calamity Trigger,3194,85.91
263620,Mitsurugi Kamui Hikae,3401,80.09
263740,FootLOL: Epic Soccer League,1092,82.97
263760,Turbo Dismount™,5820,93.69
263980,Out There Somewhere,6913,92.98
264080,Vangers,1339,93.35
264200,One Finger Death Punch,16323,97.9
264380,Narcissu 1st & 2nd,5208,95.79
264710,Subnautica,342169,97.03
264730,Deadly 30,1858,77.02
265210,Viscera Cleanup Detail: Santa's Rampage,5894,91.4
265330,Gomo,1865,76.94
265590,The Red Solstice,2547,70.63
265630,Fistful of Frags,36717,91.42
265610,Epic Battle Fantasy 4,3263,96.97
265550,Dead Rising 3 Apocalypse Edition,20011,76.86
265690,NaissanceE,4229,84.37
265750,Secret Ponchos,1305,70.8
265890,Hexcells,5850,96.92
265930,Goat Simulator,69620,90.89
266010,LYNE,8222,95.68
266110,Tower of Guns,1234,80.55
266130,Breach & Clear,2420,82.4
266210,One Way Heroics,4107,94.03
266410,iRacing,6582,85.76
266510,Hand of Fate,10632,89.21
266840,Age of Mythology: Extended Edition,35945,93.21
267530,The LEGO® Movie - Videogame,5757,87.16
267920,Gun Metal,1109,81.33
268130,Heat Signature,7326,94.47
268050,The Evil Within,32287,85.19
268400,Panzer Corps Gold,2684,91.88
268500,XCOM® 2,106876,84.49
268540,The Whispered World Special Edition,2077,75.69
268650,From the Depths,12494,89.29
268750,Magicite,7579,85.16
268870,Satellite Reign,5305,71.54
268910,Cuphead,205577,96.25
268990,The Dishwasher: Vampire Smile,1757,95.11
269050,Year Walk,2013,90.41
269030,The Yawhg,1449,82.61
269270,LOVE,1181,90.52
269490,Bardbarian,1508,88.59
269650,Dex,3493,86.95
269670,BADLAND: Game of the Year Edition,3227,85.5
269770,Secrets of Grindea,8498,89.09
269790,DreadOut,5620,76.8
269950,X-Plane 11,19771,92.95
269710,Tumblestone,1983,77.61
270110,Block Story™,1959,82.95
270130,The Gallery - Episode 1: Call of the Starseed,1520,83.22
270150,RUNNING WITH RIFLES,16488,87.91
270210,Melody's Escape,4808,92.95
270450,Robot Roller-Derby Disco Dodgeball,3870,92.38
270550,Yet Another Zombie Defense,12354,86.77
270570,Reversion - The Escape (1st Chapter),1552,77.58
270630,Haunt the House: Terrortown,2326,87.36
270850,Car Mechanic Simulator 2014,5123,83.04
270880,American Truck Simulator,188170,96.93
271240,Offworld Trading Company,5664,76.87
271260,Star Control®: Origins,2664,73.95
271570,Space Farmers,1785,73.56
271900,Hexcells Plus,2781,94.64
272040,KAMI,1254,95.53
272060,Serena,6540,76.96
272270,Torment: Tides of Numenera,4339,70.5
272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,8858,84.35
272600,Detective Grimoire,2313,95.85
273500,Over 9000 Zombies!,1528,86.58
274170,Hotline Miami 2: Wrong Number,76479,94.18
274190,Broforce,60308,96.95
274270,NOT A HERO,2041,86.92
274310,Always Sometimes Monsters,2445,74.64
274350,Dropsy,2103,92.91
274290,Gods Will Be Watching,2921,70.35
274520,Darkwood,23707,94.92
274500,Brigador: Up-Armored Edition,5659,93.46
274560,Revolution Ace,1880,71.81
274900,Murder Miners,6384,86.31
274940,Depth,32710,87.93
274980,Influent Language Learning Game,1682,73.25
275200,Westerado: Double Barreled,1895,91.45
275100,Shelter 2,4273,85.12
275390,Guacamelee! Super Turbo Championship Edition,6976,92.43
275470,Chip,1169,83.06
275670,Space Run,2122,85.49
275850,No Man's Sky,400961,84.69
275530,Z,1436,75.91
276810,Mordheim: City of the Damned,8308,70.29
277450,Imperial Glory,1323,77.7
277430,Halo: Spartan Assault,4806,78.34
277590,Assassin's Creed Freedom Cry,2937,77.56
277890,Shantae: Risky's Revenge - Director's Cut,1671,85.7
278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,13912,83.99
278460,Skyborn,1717,87.07
278360,A Story About My Uncle,29111,91.56
278100,RIVE,1030,83.69
278890,Angvik,2527,87.93
279800,Grim Legends 2: Song of the Dark Swan,1320,95.83
279720,The I of the Dragon,1143,71.04
280160,Aragami,12926,89.97
280180,Hover,2157,80.06
280220,Creeper World 3: Arc Eternal,4757,96.43
280520,Crea,1404,75.43
280790,Creativerse,30820,77.55
281610,Homeworld: Deserts of Kharak,8787,79.28
281640,The Banner Saga 2,3738,89.54
281920,Splatter - Zombiecalypse Now,2412,89.72
282010,Carmageddon Max Pack,1021,88.64
281990,Stellaris,190777,86.62
282070,This War of Mine,96467,93.9
